iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x14122CF00,?0FlightDynamicsManager,,0x140329360,low,1.914,0.063,3 shared rare constants; struct_sim=0.48; demoted: runner-up within 0.06,void __fastcall(FlightDynamicsManager *this)
0x14BC081C6,bdUmbrella::getProviderTokens,,0x143655E40,low,1.913,0.02,1 shared string literal; struct_sim=0.40,"bdReference<bdRemoteTask> *__fastcall(bdUmbrella *this, bdReference<bdRemoteTask> *result, unsigned __int64 umbrellaID, const bdUmbrellaProviderAccount *account, bdUmbrellaProviderToken *tokens, const char *accessToken, unsigned int refreshIfExpiresIn, bool psnIDMode, unsigned int xCacheAge)"
0x1412B9B54,Windows::Xbox::Management::Deployment::PE$AAUIDownloadableContentPackage::?Q?$IVector::ReplaceAll,,0x141860970,low,1.913,0.099,2 shared rare constants; struct_sim=0.74; demoted: runner-up within 0.10,"void __fastcall(Platform::Collections::Vector<Windows::Xbox::Management::Deployment::IDownloadableContentPackage _,std::equal_to<Windows::Xbox::Management::Deployment::IDownloadableContentPackage _>,1> *this, const Platform::Array<Windows::Xbox::Management::Deployment::IDownloadableContentPackage _,1> *arr)"
0x140030920,index2adr,,0x1437F84D0,low,1.912,0.0,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x1404D1B10,index2adr,,0x1437F84D0,low,1.912,0.0,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x1404F0590,index2adr,,0x1437F84D0,low,1.909,0.0,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x140710CE0,BG_GetWheelOrigin,,0x14107F7B0,low,1.909,1.909,1 shared rare constant; struct_sim=0.61,"__int64 __fastcall(const pmove_t *pm, int wheelIndex, vec3_t *result)"
0x1410D5ED0,hknpConvexCompositeCollisionDetector_midphase,,0x142F90AA0,low,1.909,1.909,1 shared rare constant; struct_sim=0.61,"hknpCollisionShapeKeyArrayCache *__usercall@<rax>(const hknpSimulationThreadContext *tl@<rcx>, const hknpInternalCollideSharedData *sharedData@<rdx>, hknpCompositeCollisionCache *compositeCache@<r8>, hknpCdBody *convexBody@<r9>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>, __int128 *__struct_ptr _XMM9@<xmm9>, __int128 *__struct_ptr _XMM10@<xmm10>, __int128 *__struct_ptr _XMM11@<xmm11>, __int128 *__struct_ptr _XMM12@<xmm12>, __int128 *__struct_ptr _XMM13@<xmm13>, __int128 *__struct_ptr _XMM14@<xmm14>, __int128 *__struct_ptr _XMM15@<xmm15>, hknpCdBody *compositeBody, hknpCollisionCacheBatchConsumer *childCacheConsumer, hknpCollisionCacheWriter *childCachesOut, hkInplaceArray<hkHandle<unsigned int,4294967295,hknpShapeKeyDiscriminant>,1024,hkContainerHeapAllocator> *hitsOut, hknpCollideTimers *collideTimers)"
0x140EA3560,strscan_hex,,0x143809A50,low,1.908,1.908,1 shared rare constant; struct_sim=0.61,"__int64 __usercall@<rax>(const char *p@<rcx>, TValue *o@<rdx>, StrScanFmt fmt@<r8d>, unsigned int opt@<r9d>, __int128 *@<xmm4>, int ex2, int neg, unsigned int dig)"
0x1404EBE10,LUI_Model_AllocateNode,,0x142615420,low,1.907,1.907,1 shared rare constant; struct_sim=0.60,"__int64 __fastcall(const unsigned __int16 ancestorIndex, const char *key, bool persistent)"
