iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x1410EA9C0,hknpSolverUtil::solveSt,,0x143020390,high,10.488,10.488,7 shared string literals (jaccard 0.78); struct_sim=0.87,"void __fastcall(hknpSimulationContext *simulationContext, hknpSimulationThreadContext *tl, hknpCsAbstractJacGrid *jacGrids, hknpSolverVelocity *solverVel, hknpSolverSumVelocity *solverSumVel, int numSolverVel, hkBlockStream *solverTempsStream)"
0x1411C4E20,lj_cf_os_date,,0x143826AE0,high,10.219,2.762,6 shared string literals (jaccard 1.00); 2 shared rare constants; struct_sim=0.81,"__int64 __usercall@<rax>(lua_State *L@<rcx>, __int128 _XMM0@<xmm0>)"
0x14119D6C0,T42_Face_Init,,0x1430D8F90,high,10.2,7.6,3 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 6 shared rare constants; struct_sim=1.00,"__int64 __fastcall(FT_StreamRec_ *stream, FT_FaceRec_ *t42face, int face_index, int num_params, FT_Parameter_ *params)"
0x140B09D90,PlayerCmd_SetActionSlot,,0x141267470,high,10.169,7.627,7 shared string literals (jaccard 0.54); struct_sim=0.82,"__int64 __fastcall(scrContext_t *scrContext, playerState_s *ps, int allowWeaponCreate)"
0x1410B31C0,hknpContactImpulseClippedEvent::printCommand,,0x142F3E2A0,high,10.047,1.486,6 shared string literals (jaccard 1.00); 1 shared rare constant; struct_sim=0.96,"void __fastcall(hknpContactImpulseClippedEvent *this, const hknpWorld *world, hkOstream *out)"
0x1410CA600,hknpMotionWeldTOICommand::printCommand,,0x142F7A7C0,high,10.047,6.942,6 shared string literals (jaccard 1.00); 1 shared rare constant; struct_sim=0.96,"void __fastcall(hknpMotionWeldTOICommand *this, const hknpWorld *world, hkOstream *out)"
0x140DB2070,dwAssertHandler,,0x1419B0110,high,9.971,5.224,5 shared string literals (jaccard 0.56); 1 mapped callee(s) in common; 1 shared rare constant; struct_sim=0.88,"void __fastcall(const bool expr, const char *const exprString, const char *const file, const char *const function, const unsigned int line, const char *const format, char *args)"
0x1406D2340,LUI_LuaCall_LUIElement_setupTechyDigits,,0x1425C07C0,high,9.915,7.35,5 shared string literals (jaccard 0.62); 1 mapped callee(s) in common; 1 shared rare constant; struct_sim=0.79,"__int64 __usercall@<rax>(lua_State *luaVM@<rcx>, __int128 _XMM1@<xmm1>)"
0x14129E7F0,bdECCKey::generateSharedSecret,,0x143A90C30,high,9.848,7.536,5 shared string literals (jaccard 0.71); 1 mapped callee(s) in common; struct_sim=0.96,"__int64 __fastcall(bdECCKey *this, const char *const publicKey, const unsigned int publicKeyLen, char *secretBuffer, const unsigned int secretBufferLen)"
0x141049BA0,hknpExternMeshShape::rebuild,,0x142E66E60,high,9.727,6.807,5 shared string literals (jaccard 0.62); 5 shared rare constants; struct_sim=0.73,"_DWORD *__usercall@<rax>(hknpExternMeshShape *this@<rcx>, _DWORD *flags@<rdx>, __int128 degenerateTriangleTolerance@<xmm2>, int@<r8d>, __int128 _XMM0@<xmm0>, __int128 _XMM3@<xmm3>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>)"
0x140767F60,CG_ParseReactiveSound,,0x141BFDE40,high,9.689,9.689,6 shared string literals (jaccard 0.75); struct_sim=0.76,"const char *__usercall@<rax>(LocalClientNum_t localClientNum@<ecx>, const char *line@<rdx>, __int128 *__struct_ptr _XMM6@<xmm6>)"
0x140F08860,hkReferenceCountError,,0x142AF22B0,high,9.614,7.227,6 shared string literals (jaccard 0.55); 1 shared rare constant; struct_sim=0.98,"void __fastcall(const hkReferencedObject *o, const char *why)"
0x140523A90,OnlineMatchmakerOmniscient::PumpCallbacks,,0x140E09880,high,9.545,7.384,6 shared string literals (jaccard 0.55); 1 shared rare constant; struct_sim=0.93,void __fastcall(OnlineMatchmakerOmniscient *this)
0x141191970,cf2_font_setup,,0x1430CA390,high,9.397,7.724,callee set agrees: 5/5 mapped callees (jaccard 1.00); 5 shared rare constants; struct_sim=1.00,"void __fastcall(CF2_FontRec_ *font, const CF2_Matrix_ *transform)"
0x14107CDB0,hknpWorld::addBodies,,0x142E8BB30,high,9.382,2.878,4 shared string literals (jaccard 0.80); 6 shared rare constants; struct_sim=0.92,"void __usercall(hknpWorld *this@<rcx>, const hknpBodyId *ids@<rdx>, int numIds@<r8d>, hknpWorldWriter::AdditionMode additionMode@<r9d>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>, __int128 _XMM9@<xmm9>, __int128 _XMM10@<xmm10>, __int128 _XMM11@<xmm11>, hknpWorldWriter::ActivationMode activationMode)"
0x141199A50,cid_parser_new,,0x1430D42F0,high,9.379,9.379,4 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 2 shared rare constants; struct_sim=0.99,"__int64 __fastcall(CID_Parser_ *parser, FT_StreamRec_ *stream, FT_MemoryRec_ *memory, PSAux_ServiceRec_ *psaux)"
0x14107D5E0,hknpWorld::removeBodies,,0x142E95A20,high,9.307,5.487,4 shared string literals (jaccard 1.00); 6 shared rare constants; struct_sim=0.74,"void __fastcall(hknpWorld *this, const hknpBodyId *bodyIds, int numBodies, hknpWorldWriter::ActivationMode activationMode)"
0x141197750,cff_slot_load,,0x1430D1890,high,9.283,7.164,callee set agrees: 6/6 mapped callees (jaccard 1.00); 4 shared rare constants; struct_sim=0.99,"__int64 __fastcall(CFF_GlyphSlotRec_ *glyph, CFF_SizeRec_ *size, unsigned int glyph_index, int load_flags)"
0x14126BC56,bdUmbrellaUserAccount::deserializeFromJSON,,0x143650720,high,9.21,6.682,6 shared string literals (jaccard 0.67); 1 shared rare constant; struct_sim=0.63,"_BOOL8 __fastcall(bdUmbrellaUserAccount *this, bdJSONDeserializer *json)"
0x14119A920,pfr_face_init,,0x1430D5550,high,9.2,7.525,callee set agrees: 5/5 mapped callees (jaccard 1.00); 6 shared rare constants; struct_sim=1.00,"int __fastcall(FT_StreamRec_ *stream, FT_FaceRec_ *pfrface, int face_index, int num_params)"
0x14022CEE0,CgCompassSystemMP::InitCompassColors,,0x141E6B080,high,9.091,9.091,6 shared string literals (jaccard 0.55); 1 shared rare constant; struct_sim=0.63,"void __usercall(CgCompassSystemMP *this@<rcx>, __int128 _XMM0@<xmm0>, __int128 _XMM1@<xmm1>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>)"
0x1400A5FE0,WriteStructure,,0x1409B1BA0,high,9.03,6.621,6 shared string literals (jaccard 0.67); struct_sim=0.78,"void __fastcall(TextWriter *writer, const DDLStruct *structure, const DDLDef *def)"
0x1411A3E40,ps_parser_load_field,,0x1430E10B0,high,8.979,8.979,callee set agrees: 7/7 mapped callees (jaccard 1.00); 1 shared rare constant; struct_sim=0.99,"__int64 __fastcall(PS_ParserRec_ *parser, T1_FieldRec_ *const field, void **objects, unsigned int max_objects)"
0x14BFDCEEC,bdUPnP::startDiscovery,,0x1437263C0,high,8.943,8.943,6 shared string literals (jaccard 0.75); struct_sim=0.66,__int64 __fastcall(bdUPnP *this)
0x14011DCC0,CG_ParseFixedCameraToken,,0x141BE7040,high,8.805,8.805,6 shared string literals (jaccard 0.50); struct_sim=0.74,"__int64 __usercall@<rax>(const char *token@<rcx>, const char *tokenValue@<rdx>, CinematicCameraSettings *camSettings@<r9>, __int128 *@<xmm0>)"
0x14107DA30,hknpWorld::destroyBodies,,0x142E8F7F0,high,8.784,8.784,4 shared string literals (jaccard 1.00); 4 shared rare constants; struct_sim=0.92,"void __fastcall(hknpWorld *this, const hknpBodyId *bodyIds, int numBodies, hknpWorldWriter::ActivationMode activationMode)"
0x14123F590,bdMallocMemory::eraseMemory,,0x143599B60,high,8.7,3.305,"identical 41-instruction sequence, unique in both binaries; 3 shared string literals (jaccard 0.60); struct_sim=1.00",void __fastcall(bdMallocMemory::bdMemoryChainElement *link)
0x141281110,bdGetHostByName::quit,,0x1437232C0,high,8.7,6.155,"identical 34-instruction sequence, unique in both binaries; 3 shared string literals (jaccard 0.60); struct_sim=1.00",void __fastcall(bdGetHostByName *this)
0x1412948A7,bdNATTypeDiscoveryClient::pumpActiveTest,,0x1437542A0,high,8.687,6.399,6 shared string literals (jaccard 0.55); struct_sim=0.63,"void __usercall(bdNATTypeDiscoveryClient *this@<rcx>, __int128 _XMM0@<xmm0>)"
0x14129E6E0,bdECCKey::exportKey,,0x143A90AE0,high,8.661,4.503,4 shared string literals (jaccard 0.67); 1 mapped callee(s) in common; struct_sim=1.00,"bool __fastcall(bdECCKey *this, char *const pubKey, unsigned int *keylen)"
0x14119E060,t42_parse_encoding,,0x1430D9B50,high,8.598,6.315,4 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; struct_sim=1.00,"void __fastcall(T42_FaceRec_ *face, T42_Loader_ *loader)"
